title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
In The Heights;2021;Teens;143 min;'Drama', 'Kids & Family', 'Music';June 10, 2021;7.4;The creator of “Hamilton” and the director of “Crazy Rich Asians” invite you to a cinematic event, where the streets are made of music and little dreams become big: “In the Heights.” Lights up on Washington Heights...The scent of a cafecito caliente hangs in the air just outside of the 181st Street subway stop, where a kaleidoscope of dreams rallies this vibrant and tight-knit community. At the intersection of it all is the likeable, magnetic bodega owner Usnavi, who hopes, imagines and sings about a better life. The film fuses Lin-Manuel Miranda’s kinetic music and lyrics with director Jon M. Chu’s lively and authentic eye for storytelling to capture a world very much of its place, but universal in its experience. Streaming through July 11.;hbo max;'Drama', 'Kids & Family', 'Music', Teens, The creator of “Hamilton” and the director of “Crazy Rich Asians” invite you to a cinematic event, where the streets are made of music and little dreams become big: “In the Heights.” Lights up on Washington Heights...The scent of a cafecito caliente hangs in the air just outside of the 181st Street subway stop, where a kaleidoscope of dreams rallies this vibrant and tight-knit community. At the intersection of it all is the likeable, magnetic bodega owner Usnavi, who hopes, imagines and sings about a better life. The film fuses Lin-Manuel Miranda’s kinetic music and lyrics with director Jon M. Chu’s lively and authentic eye for storytelling to capture a world very much of its place, but universal in its experience. Streaming through July 11.
Billy on the Street;2012;Teens;4 Seasons;'Comedy', 'Kids & Family', 'Reality';June 8, 2021;7.8;"Hosted by Billy Eichner, this comedy game show follows Billy on the streets of New York as he tests unsuspecting strangers on their knowledge of music and pop culture. Eichner gives contestants the chance to win cash by answering a series of hilarious and spontaneous questions. The catch? The final round is subjective; don't agree with Billy? You lose.";hbo max;"'Comedy', 'Kids & Family', 'Reality', Teens, Hosted by Billy Eichner, this comedy game show follows Billy on the streets of New York as he tests unsuspecting strangers on their knowledge of music and pop culture. Eichner gives contestants the chance to win cash by answering a series of hilarious and spontaneous questions. The catch? The final round is subjective; don't agree with Billy? You lose."
Rizzoli & Isles;2010;Teens;7 Seasons;'Drama', 'Kids & Family';June 6, 2021;7.7;Jane Rizzoli, a police detective in Boston, is pulled into a case involving a serial killer that finds ways to antagonize and harm her. A native Bostonian, Jane is tough and part of a close-knit family. Maura Isles, the methodical and blunt medical examiner, is more than a little attractive. Rizzoli and Isles are bonded by their dedication to work and their strong friendship.;hbo max;'Drama', 'Kids & Family', Teens, Jane Rizzoli, a police detective in Boston, is pulled into a case involving a serial killer that finds ways to antagonize and harm her. A native Bostonian, Jane is tough and part of a close-knit family. Maura Isles, the methodical and blunt medical examiner, is more than a little attractive. Rizzoli and Isles are bonded by their dedication to work and their strong friendship.
To Your Eternity;2021;Older Kids;1 Season;'Drama', 'Fantasy & Sci-Fi', 'Kids & Family';June 2, 2021;8.6;"In the beginning, an ""orb"" is cast unto Earth. ""It"" can do two things: change into the form of the thing that stimulates ""it""; and come back to life after death. ""It"" morphs from orb to rock, then to wolf, and finally to boy, but roams about like a newborn who knows nothing. As a boy, ""it"" becomes Fushi. Through encounters with human kindness, Fushi not only gains survival skills, but grows as a ""person"". But his journey is darkened by the inexplicable and destructive enemy Nokker, as well as cruel partings with the people he loves.";hbo max;"'Drama', 'Fantasy & Sci-Fi', 'Kids & Family', Older Kids, In the beginning, an ""orb"" is cast unto Earth. ""It"" can do two things: change into the form of the thing that stimulates ""it""; and come back to life after death. ""It"" morphs from orb to rock, then to wolf, and finally to boy, but roams about like a newborn who knows nothing. As a boy, ""it"" becomes Fushi. Through encounters with human kindness, Fushi not only gains survival skills, but grows as a ""person"". But his journey is darkened by the inexplicable and destructive enemy Nokker, as well as cruel partings with the people he loves."
Cold Case;2003;Teens;7 Seasons;'Crime', 'Drama', 'Kids & Family';June 1, 2021;7.5;"Headstrong and resourceful, Detective Lilly Rush works on ""cold cases"" for the Philadelphia Police Department, reopening dormant, unsolved homicides that occurred years or even decades ago, making use of today's science and finding fresh clues to crimes once thought to be unsolvable.";hbo max;"'Crime', 'Drama', 'Kids & Family', Teens, Headstrong and resourceful, Detective Lilly Rush works on ""cold cases"" for the Philadelphia Police Department, reopening dormant, unsolved homicides that occurred years or even decades ago, making use of today's science and finding fresh clues to crimes once thought to be unsolvable."
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb;1964;Older Kids;95 min;'Action', 'Fantasy & Sci-Fi';June 1, 2021;8.5;Psychotic Air Force General unleashes ingenious foolproof and irrevocable scheme sending bombers to attack Russia. U.S. President works with Soviet premier in a desperate effort to save the world.;hbo max;'Action', 'Fantasy & Sci-Fi', Older Kids, Psychotic Air Force General unleashes ingenious foolproof and irrevocable scheme sending bombers to attack Russia. U.S. President works with Soviet premier in a desperate effort to save the world.
Eight Men Out;1988;Older Kids;120 min;'Drama', 'Kids & Family', 'Sports';June 1, 2021;7.1;In 1919, eight Chicago White Sox players accepted $10,000 each to throw the World Series-and America's favorite pastime was changed forever. John Sayles ('Lone Star') directed this fact-based drama that looks at the players' reasons for accepting the money...and the devastating aftermath of their actions.;hbo max;'Drama', 'Kids & Family', 'Sports', Older Kids, In 1919, eight Chicago White Sox players accepted $10,000 each to throw the World Series-and America's favorite pastime was changed forever. John Sayles ('Lone Star') directed this fact-based drama that looks at the players' reasons for accepting the money...and the devastating aftermath of their actions.
Eyes Wide Shut;1999;Adults;159 min;'Movies';June 1, 2021;7.4;Tom Cruise and Nicole Kidman star as a married couple entangled in an intricate web of jealousy and sexual obsession in Stanley Kubrick's final cinematic offering. At a Christmas party hosted by wealthy, unconventional Victor Ziegler, provocative advances and innocent flirtations arouse suspicion as high-society physician Dr. William Harford and his sexy wife, Alice, watch each other from a distance. Alone later, this seemingly perfect couple confront their intimate sexual fantasies - which don't include each other.;hbo max;'Movies', Adults, Tom Cruise and Nicole Kidman star as a married couple entangled in an intricate web of jealousy and sexual obsession in Stanley Kubrick's final cinematic offering. At a Christmas party hosted by wealthy, unconventional Victor Ziegler, provocative advances and innocent flirtations arouse suspicion as high-society physician Dr. William Harford and his sexy wife, Alice, watch each other from a distance. Alone later, this seemingly perfect couple confront their intimate sexual fantasies - which don't include each other.
Happy Together;1997;Adults;96 min;'Drama', 'International', 'Romance';June 1, 2021;7.7;A chamber drama about two male lovers from Hong Kong who start off seeking a new life but end up separating on their way to a waterfall in Argentina. Stuck in Buenos Aires, the two meet up again.;hbo max;'Drama', 'International', 'Romance', Adults, A chamber drama about two male lovers from Hong Kong who start off seeking a new life but end up separating on their way to a waterfall in Argentina. Stuck in Buenos Aires, the two meet up again.
Iris;2001;Adults;91 min;'Drama', 'International', 'Romance';June 1, 2021;7.1;Judi Dench gives an Oscar(R)-nominated performance in this poignant true story chronicling the life of celebrated English author Iris Murdoch and her special bond with her devoted husband (Oscar(R)-winner Jim Broadbent), as she battled Alzheimer's.;hbo max;'Drama', 'International', 'Romance', Adults, Judi Dench gives an Oscar(R)-nominated performance in this poignant true story chronicling the life of celebrated English author Iris Murdoch and her special bond with her devoted husband (Oscar(R)-winner Jim Broadbent), as she battled Alzheimer's.
Jerry Maguire;1996;Adults;139 min;'Movies';June 1, 2021;7.4;Tom Cruise is in top form as a sports agent who suddenly discovers his scruples in this romantic comedy, which co-stars Cuba Gooding, Jr. in his Oscar(r)-winning role.;hbo max;'Movies', Adults, Tom Cruise is in top form as a sports agent who suddenly discovers his scruples in this romantic comedy, which co-stars Cuba Gooding, Jr. in his Oscar(r)-winning role.
The Time Machine;1960;Kids;103 min;'Fantasy & Sci-Fi';June 1, 2021;7.4;In this adaptation of H.G. Wells' classic novel, a scientist in 1880s Victorian England builds a vehicle to transport him through time. He first travels to 1917 and the horror of World War I. Next, he sets his destination for 1940 and the start of World War II. From there he travels to a future London where he barely escapes nuclear holocaust. Finally, he sets his destination for the year 802,701 C.E., when he meets an innocent race of people living in an idyllic land ... but this future may be the most dangerous of all his journeys in The Time Machine.;hbo max;'Fantasy & Sci-Fi', Kids, In this adaptation of H.G. Wells' classic novel, a scientist in 1880s Victorian England builds a vehicle to transport him through time. He first travels to 1917 and the horror of World War I. Next, he sets his destination for 1940 and the start of World War II. From there he travels to a future London where he barely escapes nuclear holocaust. Finally, he sets his destination for the year 802,701 C.E., when he meets an innocent race of people living in an idyllic land ... but this future may be the most dangerous of all his journeys in The Time Machine.
